Sample:	'C6 1uL_20C(EM)	
File name:	acetonitrile.FDS	
Run date:	'17:05:10, 12/09/2023	
Operator:	IISER	
Comment:	'	
		
Instrument		
Model:	F-7000 FL Spectrophotometer	
Serial number:	3037-001	
ROM Version:	5J14000 12	
Accessory:	Polarization unit	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	427.0 nm	
EM  Start WL:	440.0 nm	
EM  End WL:	700.0 nm	
Scan speed:	240 nm/min	
Delay:	1.0 s	
EX Slit:	5.0 nm	
EM Slit:	5.0 nm	
PMT Voltage:	700 V	
Response:	2.0 s	
Corrected spectra:	Off	
Shutter control:	On	
EX Polarizer:	0 deg.	
635.2	0.270	
635.4	0.271	
635.6	0.273	
635.8	0.268	
636.0	0.272	
636.2	0.273	
636.4	0.274	
636.6	0.274	
636.8	0.274	
637.0	0.273	
637.2	0.275	
637.4	0.268	
637.6	0.264	
637.8	0.265	
638.0	0.273	
638.2	0.283	
638.4	0.283	
638.6	0.275	
638.8	0.270	
639.0	0.267	
639.2	0.270	
639.4	0.269	
639.6	0.266	
639.8	0.262	
640.0	0.261	
640.2	0.259	
640.4	0.259	
640.6	0.257	
640.8	0.254	
641.0	0.249	
641.2	0.242	
641.4	0.235	
641.6	0.234	
641.8	0.237	
642.0	0.236	
642.2	0.234	
642.4	0.231	
642.6	0.228	
642.8	0.227	
643.0	0.226	
643.2	0.222	
643.4	0.222	
643.6	0.226	
643.8	0.232	
644.0	0.239	
644.2	0.247	
644.4	0.251	
644.6	0.254	
644.8	0.255	
645.0	0.258	
645.2	0.261	
645.4	0.260	
645.6	0.261	
645.8	0.264	
646.0	0.263	
646.2	0.263	
646.4	0.262	
646.6	0.252	
646.8	0.243	
647.0	0.233	
647.2	0.221	
647.4	0.214	
647.6	0.208	
647.8	0.203	
648.0	0.204	
648.2	0.209	
648.4	0.214	
648.6	0.219	
648.8	0.218	
649.0	0.214	
649.2	0.211	
649.4	0.207	
649.6	0.203	
649.8	0.206	
650.0	0.207	
650.2	0.211	
650.4	0.214	
650.6	0.209	
650.8	0.206	
651.0	0.208	
651.2	0.205	
651.4	0.210	
651.6	0.215	
651.8	0.220	
652.0	0.225	
652.2	0.227	
652.4	0.223	
652.6	0.220	
652.8	0.216	
653.0	0.213	
653.2	0.213	
653.4	0.220	
653.6	0.229	
653.8	0.232	
654.0	0.232	
654.2	0.225	
654.4	0.219	
654.6	0.218	
654.8	0.215	
655.0	0.210	
655.2	0.204	
655.4	0.197	
655.6	0.194	
655.8	0.198	
656.0	0.205	
656.2	0.210	
656.4	0.210	
656.6	0.201	
656.8	0.192	
657.0	0.183	
657.2	0.180	
657.4	0.177	
657.6	0.180	
657.8	0.182	
658.0	0.189	
658.2	0.194	
658.4	0.196	
658.6	0.198	
658.8	0.200	
659.0	0.204	
659.2	0.214	
659.4	0.222	
659.6	0.228	
659.8	0.235	
660.0	0.239	
660.2	0.242	
660.4	0.243	
660.6	0.240	
660.8	0.236	
661.0	0.236	
661.2	0.244	
661.4	0.249	
661.6	0.253	
661.8	0.251	
662.0	0.252	
662.2	0.257	
662.4	0.267	
662.6	0.276	
662.8	0.278	
663.0	0.272	
663.2	0.265	
663.4	0.264	
663.6	0.271	
663.8	0.279	
664.0	0.279	
664.2	0.269	
664.4	0.255	
664.6	0.240	
664.8	0.227	
665.0	0.220	
665.2	0.215	
665.4	0.213	
665.6	0.213	
665.8	0.213	
666.0	0.214	
666.2	0.219	
666.4	0.219	
666.6	0.221	
666.8	0.220	
667.0	0.215	
667.2	0.216	
667.4	0.214	
667.6	0.207	
667.8	0.201	
668.0	0.198	
668.2	0.190	
668.4	0.188	
668.6	0.188	
668.8	0.189	
669.0	0.192	
669.2	0.199	
669.4	0.202	
669.6	0.201	
669.8	0.194	
670.0	0.189	
670.2	0.184	
670.4	0.189	
670.6	0.201	
670.8	0.214	
671.0	0.222	
671.2	0.229	
671.4	0.232	
671.6	0.232	
671.8	0.227	
672.0	0.219	
672.2	0.213	
672.4	0.213	
672.6	0.218	
672.8	0.218	
673.0	0.213	
673.2	0.203	
673.4	0.200	
673.6	0.201	
673.8	0.207	
674.0	0.212	
674.2	0.209	
674.4	0.203	
674.6	0.204	
674.8	0.205	
675.0	0.205	
675.2	0.202	
675.4	0.194	
675.6	0.185	
675.8	0.179	
676.0	0.173	
676.2	0.171	
676.4	0.171	
676.6	0.171	
676.8	0.171	
677.0	0.171	
677.2	0.172	
677.4	0.175	
677.6	0.177	
677.8	0.175	
678.0	0.173	
678.2	0.167	
678.4	0.170	
678.6	0.175	
678.8	0.179	
679.0	0.183	
679.2	0.187	
679.4	0.189	
679.6	0.196	
679.8	0.200	
680.0	0.201	
680.2	0.202	
680.4	0.204	
680.6	0.208	
680.8	0.215	
681.0	0.221	
681.2	0.224	
681.4	0.223	
681.6	0.217	
681.8	0.209	
682.0	0.209	
682.2	0.209	
682.4	0.212	
682.6	0.221	
682.8	0.226	
683.0	0.232	
683.2	0.238	
683.4	0.239	
683.6	0.236	
683.8	0.234	
684.0	0.230	
684.2	0.230	
684.4	0.233	
684.6	0.234	
684.8	0.233	
685.0	0.227	
685.2	0.224	
685.4	0.219	
685.6	0.215	
685.8	0.213	
686.0	0.212	
686.2	0.209	
686.4	0.217	
686.6	0.227	
686.8	0.236	
687.0	0.241	
687.2	0.241	
687.4	0.237	
687.6	0.232	
687.8	0.231	
688.0	0.225	
688.2	0.221	
688.4	0.221	
688.6	0.222	
688.8	0.219	
689.0	0.217	
689.2	0.210	
689.4	0.209	
689.6	0.215	
689.8	0.221	
690.0	0.223	
690.2	0.220	
690.4	0.214	
690.6	0.209	
690.8	0.208	
691.0	0.215	
